work_id,preferred_version_id,title,first_public_date,publication_date,doi,arxiv_id,bibcode,peer_review_status,tess_used,other_missions_used,stellar_flares_analyzed,catalog_or_sample_type,sample_size_reported,flare_count_reported,qpp_candidate_count_reported,target_selection_description,flare_selection_description,qpp_candidate_selection_description,tess_sectors,cadence_or_sampling,data_product,detection_method_primary,detection_methods_additional,afino_used,afino_version_if_reported,periodogram_used,wavelet_used,bayesian_model_comparison_used,other_method_used,window_definition_reported,detrending_reported,quality_filtering_reported,gap_handling_reported,irregular_sampling_handling_reported,selection_threshold_or_rule,period_search_range,window_robustness_tested,processing_robustness_tested,quality_robustness_tested,gap_robustness_tested,optimizer_stability_tested,optimizer_or_seed_details,warnings_bounds_or_convergence_discussed,synthetic_data_used,injection_recovery_used,ground_truth_known,signal_family_description,noise_model_description,flare_background_description,selection_function_characterized,completeness_characterized,false_selection_characterized,development_set_used,validation_set_used,heldout_validation_used,heldout_definition,reported_methodological_conclusion,reported_catalog_conclusion,reported_validation_conclusion,authors_stated_limitations,extraction_status
BAIIW0145,BAIIV0222,Stellar flare morphology with TESS across the main sequence,2024-12-17,2025-02-01,10.1051/0004-6361/202452489,NOT_APPLICABLE,2025A&A...694A.161S,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Main-sequence TESS flare catalogue across Sectors 1–69,"~14,000 flare stars","~120,000",NOT_APPLICABLE,TESS 2-min main-sequence sample across Sectors 1–69.,Retrained flatwrm2 LSTM with strict filtering/manual vetting.,NOT_APPLICABLE,1–69,2 min,NOT_REPORTED,flatwrm2 LSTM flare detection,Strict vetting + PCA flare morphology; realistic flare templates,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,YES,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,YES,YES,YES,YES,NOT_REPORTED,NOT_REPORTED,A retrained LSTM plus strict vetting emphasizes low false-positive rate while acknowledging reduced completeness.,"About 120,000 flares on ~14,000 stars are reported from TESS Sectors 1–69.",Selection trade-offs between false positives and completeness are explicitly discussed; a formal held-out injection benchmark is not resolved in the abstract.,"Strict filtering/manual vetting reduces completeness, which is directly relevant to catalogue selection effects.",COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0147,BAIIV0226,Enhancing the detection of low-energy M dwarf flares: Wavelet-based denoising of CHEOPS data,2024-12-19,2025-07-01,10.1051/0004-6361/202453517,NOT_APPLICABLE,2025A&A...699A.242P,PEER_REVIEWED,NO,CHEOPS,YES,CHEOPS M-dwarf light curves with synthetic injection–recovery,63 M dwarfs,349,NOT_APPLICABLE,CHEOPS observations of 63 M dwarfs.,Wavelet-denoised light curves; parameters optimized by flare injection–recovery.,NOT_APPLICABLE,NOT_APPLICABLE,CHEOPS high-precision/high-cadence photometry,CHEOPS light curves,Wavelet-based denoising + flare detection,Injection–recovery optimization and complex-flare decomposition,NO,NOT_APPLICABLE,NO,YES,NO,YES,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Denoising parameters optimized using injected-flare recovery,NOT_APPLICABLE,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,YES,YES,YES,Injected flare profiles used to optimize recovery.,Wavelet denoising explicitly suppresses photometric noise.,NOT_REPORTED,YES,YES,NOT_REPORTED,YES,YES,NOT_REPORTED,NOT_REPORTED,Wavelet denoising tuned by injection–recovery improves low-energy flare recovery.,349 flares are recovered across 63 M dwarfs; ~40% are complex/multi-peaked.,Injection–recovery shows ~34% improvement in flare recovery after denoising.,"CHEOPS observing mode is stated to be unsuitable for large-scale surveys; transfer to TESS is a methodological comparison, not direct validation.",COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0149,BAIIV0230,Planet-induced Stellar Flare Candidates from the TESS Mission,2025-01-01,2026-07-01,10.3847/1538-4357/ae6446,NOT_APPLICABLE,2026ApJ..1005...43W,PEER_REVIEWED,YES,NOT_APPLICABLE,YES,TESS exoplanet-host flare survey with simulated injection tests,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,TESS exoplanet hosts selected for potentially sub-Alfvénic planet passages plus TOI planet-candidate hosts.,ardor multitier flare pipeline; successive detection/vetting tiers.,NOT_APPLICABLE,NOT_REPORTED,2 min and 20 s TESS photometry,TESS time-series light curves,ardor multitier flare-detection pipeline,Bayesian model comparison; PR curves; injection–recovery; phase-clustering tests,NO,NOT_APPLICABLE,NO,NO,YES,YES,NOT_REPORTED,YES,YES,NOT_REPORTED,NOT_REPORTED,Multiple tier-1 and tier-2 thresholds evaluated by precision–recall curves.,NOT_APPLICABLE,NOT_APPLICABLE,YES,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,YES,YES,Synthetic flare profiles spanning amplitude and FWHM; additional simulated phase-correlation scenarios.,Real TESS quiet light curves provide background for injected-flare tests.,Real stellar variability retained in injection backgrounds.,YES,YES,YES,YES,YES,NOT_REPORTED,NOT_REPORTED,ardor is an implementable multi-tier flare detector with quantified precision–recall and injection–recovery performance.,"The survey identifies candidate planet-induced flare systems, but that physical result is not used as BAII ground truth.",Injected flares in randomly selected TESS light curves establish known truth and recovery maps; PR tests quantify false positives/recall.,No independent confirmatory held-out split matching the BAII F3B contract is reported; some tier validation uses visually vetted real flares.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0150,BAIIV0232,Extending TESS flare frequency distributions with CHEOPS: Power-law versus lognormal,2025-10-01,2026-04-01,10.1051/0004-6361/202557721,NOT_APPLICABLE,2026A&A...708A.302P,PEER_REVIEWED,YES,CHEOPS,YES,Combined TESS+CHEOPS M-dwarf sample,110 M dwarfs,5620,NOT_APPLICABLE,110 M dwarfs observed with TESS and CHEOPS.,Detected flare populations with complex-event decomposition; detection biases corrected.,NOT_APPLICABLE,NOT_REPORTED,TESS plus higher-precision CHEOPS observations,NOT_REPORTED,Combined-mission flare detection and FFD modeling,Complex-flare decomposition; bias correction; power-law/lognormal/truncated-power-law comparison,NO,NOT_APPLICABLE,NO,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Combined TESS/CHEOPS FFDs are corrected for detection bias and used to separate intrinsic distribution shape from observational flattening.,5620 flares on 110 M dwarfs span nearly ten orders of magnitude in inferred bolometric energy.,"Detection-bias correction is explicit, but the abstract does not specify whether its calibration is injection–recovery based.",The high-energy drop remains unexplained and may be intrinsic or observational; injection details are not resolved by the abstract.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0154,BAIIV0240,Automated Flare Detection in Ground-Based Photometry of AD Leo,2026-06-01,2026-06-01,10.1088/1538-3873/ae6e70,NOT_APPLICABLE,2026PASP..138f4504B,PEER_REVIEWED,NO,AAVSO Johnson–Cousins B-band ground photometry,YES,Long-term AD Leo ground-based photometry,1 star,NOT_REPORTED,NOT_APPLICABLE,AD Leo AAVSO photometry.,Logistic-regression classification + fast-rise exponential-decay template fitting.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,AAVSO Johnson–Cousins B-band photometry,Logistic regression + FRED template flare detection,Synthetic-flare injection–recovery for completeness,NO,NOT_APPLICABLE,NO,NO,NO,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,YES,YES,Synthetic flare profiles used to measure detection completeness.,Real ground-based photometry background.,NOT_REPORTED,YES,YES,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,An automated logistic-regression/FRED pipeline is calibrated with synthetic injections for ground-based flare studies.,Single-star AD Leo flare-frequency analysis.,Synthetic-flare injection–recovery quantifies detection completeness.,Ground-based single-star transfer to TESS/QPP work is methodological context rather than direct observational overlap.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0156,BAIIV0242,FLARENET: A Convolutional Neural Network for Stellar Flare Detection with TESS,2026-06-01,2026-06-01,10.3847/2515-5172/ae74cf,NOT_APPLICABLE,2026RNAAS..10..148B,PUBLISHED_JOURNAL,YES,NOT_APPLICABLE,YES,TESS 20-s flare classifier trained on quiescent light curves + synthetic flares,~1000 quiescent 20-s light curves for training backgrounds,100 synthetic flares injected per training light curve,NOT_APPLICABLE,TESS 20-s light curves used as quiescent backgrounds; model can be applied to a target/sector of choice.,1D CNN outputs flare probability at each time step.,NOT_APPLICABLE,NOT_REPORTED,20 s,TESS 20-s light curves / target pixel-derived light curves,flarenet 1D convolutional neural network,Synthetic training flares; injection–recovery; configurable threshold; gap filling,NO,NOT_APPLICABLE,NO,NO,NO,YES,Sliding 500-point (~170 min) windows,NO,YES,YES,NOT_REPORTED,User-selectable flare-probability threshold; performance shown over thresholds 0.1–0.9.,NOT_APPLICABLE,NOT_REPORTED,YES,YES,YES,YES,Keras/TensorFlow CNN; RMSprop; binary cross-entropy; early stopping after 100 epochs without loss improvement.,NOT_REPORTED,YES,YES,YES,Synthetic Llamaradas Estelares flare profiles injected into real quiescent TESS backgrounds.,Real quiescent TESS 20-s light curves plus real cosmic-ray examples in training.,Training backgrounds visually screened to reduce real flare contamination.,YES,YES,YES,YES,YES,NOT_REPORTED,NOT_REPORTED,flarenet provides an implementable TESS 20-s CNN flare detector without preliminary detrending.,NOT_APPLICABLE,Injection–recovery reports median prediction 0.87 overall and 0.98 for S/N>2; performance is threshold-dependent.,Injection evaluation draws from the same flare-parameter distribution/background family used for training; an independent project-style held-out benchmark is not stated.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0165,BAIIV0253,"VizieR Online Data Catalog: M dwarfs flares timing &amp; energy from TESS &amp; Swift (Howard+, 2025)",2025-11-01,2025-11-01,NOT_APPLICABLE,NOT_APPLICABLE,2025yCat..51690027H,NOT_APPLICABLE,YES,Swift,YES,Simultaneous/paired TESS and Swift M-dwarf flare timing/energy catalogue,13 rows in timing/energy sample; 114 rows in candidate pointing-yield table,NOT_REPORTED,NOT_APPLICABLE,M-dwarf flares observed with TESS and Swift as compiled in the associated AJ study.,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,VizieR J/AJ/169/27 catalogue tables,Multiwavelength flare timing and energy catalogue,TESS/Swift timing lag and energy budgets,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,The preferred work is a structured VizieR data product linking TESS and Swift flare timing/energetics.,VizieR exposes a 13-row flare timing/energy table and a 114-row candidate-pointing yield table.,No injection–recovery/held-out detector validation is established by the catalogue metadata.,The catalogue record is preferred in BAII.3; detailed methodology resides in its linked journal article.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0168,BAIIV0257,Scalable Bayesian Additive Models for Stellar Flare Detection via Amortized Gaussian Process Inference and Hidden Markov Models,2026-06-01,2026-06-01,NOT_APPLICABLE,2606.22601,2026arXiv260622601H,PREPRINT,NOT_REPORTED,NOT_APPLICABLE,YES,Method study with extensive simulation and empirical stellar time series,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,Simulated Gaussian-process backgrounds and empirical stellar time-series examples.,"Additive Celerite+HMM flare detector, with VAE surrogate replacing exact GP operations.",NOT_APPLICABLE,NOT_APPLICABLE,Designed for long high-cadence time series,NOT_REPORTED,VAE surrogate + Celerite + HMM additive Bayesian flare model,Exact Celerite+HMM comparator; extensive simulation,NO,NOT_APPLICABLE,NO,NO,YES,YES,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,YES,Simulated GP/background structure used to test surrogate fidelity.,Celerite physical-kernel background modeled directly or via a learned VAE surrogate.,Additive background+HMM structure.,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,YES,NOT_REPORTED,NOT_REPORTED,A VAE approximation accelerates a Bayesian additive Celerite+HMM flare model while retaining structural fidelity in reported simulations.,NOT_APPLICABLE,Extensive simulations compare the surrogate with exact Celerite; empirical time-series comparisons assess computational/scientific behavior.,The abstract does not describe a flare injection–recovery selection function or independent held-out benchmark.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0181,BAIIV0273,Localizing Stellar Activity on Low-Mass Stars with the Transiting Exoplanet Survey Satellite,2024-02-01,2024-02-01,NOT_APPLICABLE,NOT_APPLICABLE,2024AAS...24325911M,NOT_PEER_REVIEWED,YES,NOT_APPLICABLE,YES,M/K dwarfs from five nearby moving groups,199 sector-level light curves,NOT_REPORTED,NOT_APPLICABLE,"M and K dwarfs without companions from β Pic, AB Dor, Tuc-Hor, Columba and Carina.",Flares localized relative to spot modulation; exact detector not fully stated in abstract.,NOT_APPLICABLE,Multiple; each sector treated individually,120 s,NOT_REPORTED,Flare localization relative to rotational/starspot modulation,Three localization categories,NO,NOT_APPLICABLE,NOT_REPORTED,NO,NO,YES,Each TESS sector treated separately,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,Spot modulation is the reference background.,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,Flares are localized statistically relative to starspot modulation in sector-level TESS light curves.,The preliminary sample comprises 199 light curves from young M/K stars.,No injection–recovery/held-out validation is reported.,The abstract states the preliminary localization technique does not work for all light-curve shapes.,COMPLETE_WITH_NOT_REPORTED_FIELDS
BAIIW0182,BAIIV0274,"An expanded flare study of nearby young moving group members with TESS: new data, methods, and directions for stellar habitability studies",2026-02-01,2026-02-01,NOT_APPLICABLE,NOT_APPLICABLE,2026AAS...24722004T,NOT_PEER_REVIEWED,YES,NOT_APPLICABLE,YES,Expanded nearby-young-moving-group TESS flare study,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,Nearby young moving-group members observed by TESS.,Abstract advertises new flare-analysis methods; details not resolved in frozen preferred-version evidence.,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Expanded TESS flare-study methodology (conference abstract),NOT_REPORTED,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,"The preferred AAS abstract signals an expanded TESS moving-group flare analysis with new methods, but does not resolve enough detail for stronger method claims.",Expanded nearby-young-moving-group flare population; exact counts are not reported in the preferred abstract evidence used here.,NOT_REPORTED,Conference abstract and frozen preferred-version evidence leave methodological details NOT_REPORTED; later related work is not silently substituted for the frozen preferred version.,COMPLETE_WITH_ACCESS_LIMITATION
BAIIW0188,BAIIV0280,Linking TESS White-Light Flares to SDSS-V Chromospheric Variability in M-Dwarfs,2026-02-01,2026-02-01,NOT_APPLICABLE,NOT_APPLICABLE,2026AAS...24742903B,NOT_PEER_REVIEWED,YES,SDSS-V spectroscopy,YES,M dwarfs with TESS white-light flares and SDSS-V chromospheric measurements,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,M dwarfs observed by both TESS and SDSS-V.,TESS white-light flare identification; detailed rule not resolved from preferred abstract metadata.,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Cross-survey flare/chromospheric activity comparison,SDSS-V spectroscopic variability,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_REPORTED,YES,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,NO,NO,NOT_APPLICABLE,The work links TESS white-light flare activity to SDSS-V chromospheric variability.,Exact sample/flare counts are not resolved in the frozen preferred-version evidence used here.,No injection–recovery or held-out validation is established from the preferred abstract evidence.,Conference-abstract detail limits extraction; no later paper is substituted for the frozen work identity.,COMPLETE_WITH_ACCESS_LIMITATION
BAIIW0190,BAIIV0283,AFINO: Automated Flare Inference of Oscillations,2024-05-01,2024-05-01,NOT_APPLICABLE,NOT_APPLICABLE,2024ascl.soft05017I,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Software/method record,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,AFINO identifies oscillations in time-series data through Fourier-based model comparison.,NOT_APPLICABLE,NOT_APPLICABLE,Time-series input; JSON or Pickle result products and summary plot,AFINO Fourier-based model comparison,Automated result serialization/summary plotting,YES,NOT_REPORTED,YES,NO,YES,NO,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,AFINO is an automated Fourier-domain model-comparison implementation for oscillation detection in time series.,NOT_APPLICABLE,NOT_APPLICABLE,ASCL is a software record; scientific performance/selection-function validation must be sourced from studies using the code.,COMPLETE_WITH_NOT_REPORTED_FIELDS
