numeric_id,paragraph_or_caption_id,displayed_value,scientific_meaning,claim_id,source_id,source_artifact,source_locator,frozen_source_value,transformation,status,revision_version,revision_status
M1N0090,M1P0034,0.07944,DEVELOPMENT sensitivity,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,primary_classification_metrics.sensitivity_TPR.point_estimate,0.07944444444444444,ROUND_5_DECIMALS,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0091,M1P0034,0.99944,DEVELOPMENT specificity,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,primary_classification_metrics.specificity_TNR.point_estimate,0.9994444444444445,ROUND_5_DECIMALS,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0092,M1P0034,0.000556,DEVELOPMENT observed FPR,M1C013,M1S039,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,primary_classification_metrics.false_positive_rate_FPR.point_estimate,0.0005555555555555556,ROUND_6_DECIMALS,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0093,M1P0035,3,DEVELOPMENT promotion criteria passed,M1C017,M1S040,workflows/phase3b/development/analysis/f3b4_candidate_rule_gate.json,promotion_result.criteria_passed,3,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0094,M1P0035,4,DEVELOPMENT promotion criteria required,M1C017,M1S040,workflows/phase3b/development/analysis/f3b4_candidate_rule_gate.json,promotion_result.criteria_required,4,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0095,M1P0035,10,final baseline t01,M1C018,M1S041,workflows/phase3b/development/analysis/f3b4_final_rule_freeze.json,final_rule.t01,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0096,M1P0035,10,final baseline t21,M1C018,M1S041,workflows/phase3b/development/analysis/f3b4_final_rule_freeze.json,final_rule.t21,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0097,M1P0036,152,HELDOUT TP,M1C014,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,confusion_matrix.TP,152,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0098,M1P0036,1648,HELDOUT FN,M1C014,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,confusion_matrix.FN,1648,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0099,M1P0036,1800,HELDOUT TN,M1C015,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,confusion_matrix.TN,1800,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0100,M1P0036,0,HELDOUT FP,M1C015,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,confusion_matrix.FP,0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0101,M1P0036,1800,HELDOUT positive denominator,M1C014,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,primary_classification_metrics.sensitivity_TPR.denominator,1800,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0102,M1P0036,1800,HELDOUT null denominator,M1C015,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,primary_classification_metrics.false_positive_rate_FPR.denominator,1800,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0103,M1P0036,0.08444,HELDOUT sensitivity,M1C014,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,primary_classification_metrics.sensitivity_TPR.point_estimate,0.08444444444444445,ROUND_5_DECIMALS,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0104,M1P0036,1.0,HELDOUT specificity point estimate,M1C015,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,primary_classification_metrics.specificity_TNR.point_estimate,1.0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0105,M1P0036,0,HELDOUT observed false-selection numerator,M1C015,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,primary_classification_metrics.false_positive_rate_FPR.numerator,0,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0106,M1P0036,1800,HELDOUT observed false-selection denominator,M1C015,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,primary_classification_metrics.false_positive_rate_FPR.denominator,1800,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0107,M1P0036,0.00213,HELDOUT FPR Wilson upper bound,M1C015,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,primary_classification_metrics.false_positive_rate_FPR.interval.upper,0.002129598918967953,ROUND_5_DECIMALS,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0108,M1P0038,156,HELDOUT selection-function strata,M1C019,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,row count,156,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0109,M1P0038,9,structural no-exposure strata,M1C019,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,exposure_status=STRUCTURAL_NO_EXPOSURE count,9,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0110,M1CAPF04,9,structural no-exposure cells shown as N/E,M1C019,M1S043,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,STRUCTURAL_NO_EXPOSURE row count,9,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0111,M1P0039,152,HELDOUT period-recovery rows,M1C021,M1S044,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_period_recovery.csv,row count,152,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0112,M1P0039,1800,eligible synthetic positives in HELDOUT,M1C021,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,sensitivity_TPR.denominator,1800,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0113,M1P0039,152,selected positives contributing period recovery,M1C021,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,confusion_matrix.TP,152,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0114,M1CAPF05,152,selected true positives plotted,M1C021,M1S044,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_period_recovery.csv,row count,152,DIRECT_CATEGORICAL_COUNT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0115,M1CAPF05,1800,eligible synthetic positive denominator,M1C021,M1S042,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,sensitivity_TPR.denominator,1800,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0116,M1P0044,51,F3A published-QPP baseline mismatches,M1C007,M1S038,workflows/phase3a/closure/f3a6_phase3a_synthesis_report.md,section 3,51,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0117,M1P0051,10,final AFINO t01 threshold,M1C018,M1S047,workflows/phase3b/closure/f3b8_phase3b_decision.json,final_rule.t01,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0118,M1P0051,10,final AFINO t21 threshold,M1C018,M1S047,workflows/phase3b/closure/f3b8_phase3b_decision.json,final_rule.t21,10.0,FLOAT_TO_INTEGER_FORMAT,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0119,M1P0051,0.5,AFINO version for final baseline,M1C018,M1S047,workflows/phase3b/closure/f3b8_phase3b_decision.json,final_rule.rule_type AFINO_0_5_BASELINE,0.5,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
M1N0120,M1P0004,20,TESS cadence in seconds for the motivating observational analysis,M1C028,M1S026,docs/literature/bibliographic_audit_ii/closure/precedence_positioning_matrix.csv,P003 / BAIIW0001 catalogue-scale 20-second TESS statement,20,EXACT_SOURCE_VALUE,TRACEABLE_TO_FROZEN_SOURCE,M1.4_V2,UNCHANGED_NUMERAL_MAPPING_REVERIFIED
